grammar53exp1_permutation	dev	64.0	63.96	63.9	65.58	63.03	64.6	63.77	64.36	63.02	65.73
grammar53exp1_permutation	test	64.34	66.57	63.99	65.07	65.54	66.94	65.3	65.12	63.86	66.26
grammar42exp1_permutation	dev	21.05	21.3	20.41	20.8	42.7	21.62	21.09	20.52	20.51	20.95
grammar42exp1_permutation	test	21.36	20.77	21.47	20.4	21.18	21.32	21.27	20.63	41.36	21.15
grammar53exp1	test	106.37	104.48	104.87	107.47	105.46	111.1	107.26	109.61	105.68	107.9
grammar53exp1	dev	111.39	105.59	108.32	105.72	104.51	104.1	107.52	102.51	102.65	103.05
grammar41exp1_permutation	test	90.01	91.76	88.95	89.11	90.63	90.03	92.61	90.56	89.23	86.99
grammar41exp1_permutation	dev	87.69	89.95	87.66	87.37	93.39	95.06	92.58	88.2	88.17	87.02
gn_grammarexp1_permutation	dev	271.5	270.52	273.82	269.86	271.2	270.56	274.71	274.23	268.87	276.52
gn_grammarexp1_permutation	test	266.31	270.87	274.87	270.05	274.95	274.25	267.26	271.0	272.86	272.13
gn_grammarexp3_permutation	test	274.12	271.33	272.15	277.11	268.79	277.92	268.97	272.98	266.32	270.43
gn_grammarexp3_permutation	dev	271.56	270.29	269.64	273.4	273.41	270.42	271.06	271.82	271.51	276.25
gn_grammarexp1	test	293.39	299.19	298.48	298.95	293.25	298.76	297.06	295.83	297.63	297.47
gn_grammarexp1	dev	291.67	299.86	299.58	292.74	289.96	295.7	296.34	297.38	297.28	297.96
gn_grammarexp2_permutation	dev	271.76	275.48	269.88	270.04	272.07	274.24	272.55	273.12	271.12	272.76
gn_grammarexp2_permutation	test	269.91	272.29	280.65	271.0	273.24	273.48	272.76	275.63	274.22	267.67
gn_grammarexp3	dev	298.53	292.14	292.15	296.29	296.25	295.19	294.28	295.11	298.11	294.83
gn_grammarexp3	test	295.24	300.51	293.37	294.31	299.41	293.3	294.5	294.47	297.13	298.51
grammar41exp1	test	123.87	121.59	119.3	118.32	118.39	120.91	115.71	118.69	119.59	125.4
grammar41exp1	dev	119.07	120.24	116.07	117.41	124.3	123.36	115.83	119.0	119.58	125.44
grammar42exp1	dev	46.3	47.7	48.46	45.4	46.85	45.73	46.43	46.67	47.43	45.8
grammar42exp1	test	45.05	45.68	47.44	45.72	46.49	47.59	47.13	44.89	44.89	45.53
gn_grammarexp2	dev	298.78	294.04	292.76	294.03	295.84	296.89	292.4	297.63	297.08	292.97
gn_grammarexp2	test	294.58	296.57	294.91	296.5	292.86	296.13	297.78	300.12	294.61	301.62
