grammar,dev_av,dev_sd,tst_av,tst_sd
exp1,94.26199999999999,1.4925736162749226,94.19500000000001,1.3238976546546164
exp1_permutation,69.30600000000001,1.9209279007812878,69.243,2.095843744175601
exp2,93.62300000000002,2.1677640554266957,93.704,2.0605979714636233
exp2_permutation,70.25099999999999,3.030654879724845,70.225,2.7528975643855684
exp3,92.9,0.7768912407795595,92.964,0.89815588847371
exp3_permutation,70.06200000000001,0.5447164399942421,69.848,0.6503506746363832
