grammar,tst_av,tst_sd
fakegrammarexp1_correct,426.70500000000004,142.60509088037495
fakegrammarexp1_incorrect,87.64399999999999,5.186494384456616
fakegrammarexp1_permutation_correct,777.1940000000002,264.9279089186339
fakegrammarexp1_permutation_incorrect,31.617,2.6201452249827675
fakegrammarexp2_correct,474.375,169.34023923745946
fakegrammarexp2_incorrect,87.15700000000001,4.311180928701554
fakegrammarexp2_permutation_correct,818.547,329.7371252998364
fakegrammarexp2_permutation_incorrect,32.721000000000004,3.903061490676261
fakegrammarexp3_correct,110.23499999999999,10.689700884496252
fakegrammarexp3_incorrect,79.988,7.380293761091086
fakegrammarexp3_permutation_correct,249.592,18.698787554277416
fakegrammarexp3_permutation_incorrect,40.95799999999999,2.012400556549318
