grammar53exp1_permutation	dev	63.66	63.13	65.88	66.14	63.43	66.08	60.54	62.95	63.22	62.29
grammar53exp1_permutation	test	63.72	65.92	64.93	64.47	64.71	66.24	65.28	65.9	60.69	63.13
grammar42exp1_permutation	dev	25.35	24.99	24.07	23.47	23.59	25.69	25.92	24.29	23.86	25.77
grammar42exp1_permutation	test	25.01	24.93	25.74	24.28	24.74	25.28	25.94	23.69	22.76	23.68
grammar53exp1	test	95.46	93.45	91.98	93.51	96.28	99.48	96.65	100.66	98.77	95.99
grammar53exp1	dev	97.61	96.73	98.61	92.29	97.25	94.3	98.92	93.02	95.87	92.3
grammar41exp1_permutation	test	85.68	89.51	81.5	82.25	86.42	85.84	87.39	84.68	85.63	80.46
grammar41exp1_permutation	dev	84.37	86.37	83.98	82.31	87.69	88.44	86.3	79.25	82.67	81.61
grammar41exp1	test	110.13	104.2	100.64	96.56	104.33	106.3	104.34	103.52	109.11	109.35
grammar41exp1	dev	103.04	107.98	102.07	100.32	109.88	106.84	102.63	98.52	95.55	107.55
grammar42exp1	dev	48.97	50.49	51.13	48.01	49.75	49.13	48.7	46.75	47.86	48.39
grammar42exp1	test	44.93	46.55	49.34	47.79	49.47	50.26	49.26	47.51	47.56	47.46
