gn_grammarexp1_permutation	dev	78.98	70.81	68.69	70.7	70.55	70.42	71.39	71.55	76.32	70.25
gn_grammarexp1_permutation	test	69.12	70.96	75.75	69.54	70.66	70.33	78.09	70.0	71.27	71.56
gn_grammarexp3_permutation	test	71.12	71.36	71.0	72.41	70.48	71.97	68.27	69.41	71.29	71.38
gn_grammarexp3_permutation	dev	71.43	71.25	71.84	70.11	69.05	72.6	70.69	68.07	71.23	71.22
gn_grammarexp1	test	93.71	97.21	95.9	94.46	95.36	96.1	95.79	97.38	92.39	95.01
gn_grammarexp1	dev	96.6	97.46	94.02	97.13	92.08	94.97	97.01	95.21	95.41	94.33
gn_grammarexp2_permutation	dev	72.73	70.05	68.2	69.72	68.88	73.63	70.42	70.45	72.28	69.52
gn_grammarexp2_permutation	test	69.78	72.37	70.25	71.88	73.3	68.4	69.43	70.57	69.34	69.68
gn_grammarexp3	dev	90.41	91.24	95.22	90.76	90.75	91.66	93.55	93.82	92.81	92.02
gn_grammarexp3	test	92.26	90.7	94.67	90.57	92.33	91.96	91.06	91.19	93.88	91.67
gn_grammarexp2	dev	96.65	94.67	92.64	94.42	94.34	95.41	97.93	95.03	97.9	106.0
gn_grammarexp2	test	93.54	95.52	96.74	106.08	96.66	93.56	96.05	94.69	96.41	96.05
